Nom officiel du restaurant;Rue;NPA;Localité;Téléphone;E-mail;Site Internet;Lien direct carte/menu;Type de cuisine;Terrasse;Horaires;Jours de fermeture;Date du menu;Date d'introduction;Date de récupération Web;Fourni par;Catégorie;Nom du plat;Description;Prix
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;À partager;Planche de Pata Negra;Assortiment des Frères Alcala;31.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;À partager;Planche de charcuteries;;22.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Plats;Burger Smoked Coffee LVDD;Pain maison, steak 150 g, sauce smoked coffee, Britchon, crudités et frites maison. Steak supplémentaire 150 g : 7.50 CHF;28.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Viandes;Hampe de bœuf;Sauce à l’échalote, frites maison et salade verte;34
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Viandes;Entrecôte de bœuf;Beurre Café de Paris, salade verte et frites maison;41
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Viandes;Épaule de Pata Negra confite;Frères Alcala, légumes de saison et riste d’aubergine;46
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Poissons;Filets de perches;Beurre blanc, riste d’aubergines et frites maison, 200 g ou 300 g;31 / 39
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Poissons;Filet de truite;Beurre blanc, légumes de saison et riste d’aubergine;35
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Poissons;Encornets snackés;Émulsion citronnée, légumes de saison et riste d’aubergines;39
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Poissons;Moules marinières;Frites maison;28
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Poissons;Moules au Bleuchâtel;Frites maison;31
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Fondues;Fondue de la maison Sterchi;200 g par personne. Supplément pommes de terre grenailles : 6.50 CHF;25
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Viandes froides;Tartare de bœuf;Frites maison et salade verte, 150 g ou 200 g;31 / 37
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Viandes froides;Rosbeef;Sauce tartare et frites maison;32
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Plats;Bowl aux légumes confits;Quinoa, roquette, feta, tapenade et Vieux Jura;25
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Salades;Salade César;Romaine, poulet, Vieux Jura, bacon, croûtons, œuf dur et sauce César maison;28.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Salades;Salade de truite en gravlax;Romaine, truite en gravlax, quinoa, pickles et vinaigrette;29.50
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Enfants;Hauts de cuisse de poulet;Accompagnement au choix : frites, légumes ou salade;14
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Enfants;Steak haché;Accompagnement au choix : frites, légumes ou salade;14
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Enfants;Fritures de poisson;Accompagnement au choix : frites, légumes ou salade;14
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Desserts;Brownie croquant;Caramel au beurre salé et glace caramel croquant;15
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Desserts;Meringue crème double;Confit de fruits rouges et sorbet framboise;15
Restaurant Les Jeunes Rives;Promenade de Marthe Robert 4;2000;Neuchâtel;032 554 28 29;contact@restaurantlesjeunesrives.ch;https://www.restaurantlesjeunesrives.ch/;;Cuisine suisse et contemporaine, produits locaux et de saison, viandes, poissons, moules, fondue et plats faits maison;Oui;Restaurant : 08:30–22:00. Service : 11:30–14:30 et 18:30–22:00. Carte après-midi : 14:30–18:00;;23.07.2026;23.07.2026;23.07.2026;PDF utilisateur et site officiel;Desserts;Crème brûlée;Vanille Bourbon de Madagascar;11
